-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2022 
Location: Latitude  -6.9726   Longitude -40.3438 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 551.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PRECTOTCORR,T2M,QV2M
2018,12,31,21,3.98,70.64,0.0,25.4,12.94
2018,12,31,22,4.05,70.97,0.0,24.71,12.82
2018,12,31,23,5.46,73.38,0.0,24.05,12.63
2019,1,1,0,7.12,73.16,0.0,24.07,12.63
2019,1,1,1,7.55,72.84,0.0,23.62,13.18
2019,1,1,2,7.24,72.29,0.0,23.01,13.85
2019,1,1,3,6.4,71.19,0.0,22.58,14.53
2019,1,1,4,5.81,69.27,0.0,22.32,14.95
2019,1,1,5,5.52,67.72,0.0,22.21,15.26
2019,1,1,6,6.63,69.15,0.0,23.19,15.38
2019,1,1,7,7.51,76.46,0.0,24.33,15.14
2019,1,1,8,7.52,86.37,0.0,25.08,14.59
2019,1,1,9,7.26,94.45,0.0,25.76,14.1
2019,1,1,10,6.86,100.77,0.01,26.62,13.49
2019,1,1,11,6.34,106.69,0.01,27.88,12.7
2019,1,1,12,5.73,111.28,0.01,29.75,11.84
2019,1,1,13,5.33,114.05,0.01,31.44,11.05
2019,1,1,14,5.14,115.79,0.01,32.61,10.38
2019,1,1,15,5.15,114.47,0.0,32.96,9.77
2019,1,1,16,5.17,111.06,0.0,32.22,9.46
2019,1,1,17,4.62,110.06,0.0,28.87,11.78
2019,1,1,18,4.18,104.61,0.0,26.12,11.29
2019,1,1,19,3.99,94.15,0.0,25.37,11.11
2019,1,1,20,3.98,85.5,0.0,24.69,10.86
2019,1,1,21,4.19,82.82,0.0,24.02,10.74
2019,1,1,22,5.48,85.26,0.0,23.51,10.74
2019,1,1,23,7.75,84.16,0.0,23.72,10.5
2019,1,2,0,9.12,79.74,0.0,24.27,10.99
2019,1,2,1,9.11,75.39,0.0,23.94,12.27
2019,1,2,2,8.0,73.02,0.0,23.31,13.49
2019,1,2,3,7.08,74.32,0.0,22.55,14.1
2019,1,2,4,6.72,76.22,0.0,22.0,14.34
2019,1,2,5,6.41,77.54,0.0,21.69,14.47
2019,1,2,6,7.15,80.95,0.0,23.57,14.47
2019,1,2,7,8.25,86.96,0.0,26.25,14.22
2019,1,2,8,7.89,88.3,0.0,28.55,13.85
2019,1,2,9,7.67,87.49,0.0,30.77,12.88
